Product Name,Description,Category ID	,Brand,SKU,Model Number
GWS 18V-8,Small angle grinders,42,Bosch,06019N9021,GWS 18V-8
GWS 12-125 P,Small angle grinders,42,Bosch,06013A6220,GWS 12-125 P
GWS 9-100 P,Small angle grinders,42,Bosch,06013965K0,GWS 9-100 P
GWS 700,Small angle grinders,42,Bosch,06013A30K0,GWS 700
GWS 19-125 CIE,Small angle grinders,42,Bosch,060179P002,GWS 19-125 CIE
GWS 17-125 S,Small angle grinders,42,Bosch,06017D0300,GWS 17-125 S
GWS 750-125,Small angle grinders,42,Bosch,601394001,GWS 750-125
GWS 9-125,Small angle grinders,42,Bosch,06013960K7,GWS 9-125
GWS 14-125 S,Small angle grinders,42,Bosch,06017D0100,GWS 14-125 S
GWS 1400,Small angle grinders,42,Bosch,601824806,GWS 1400
GWS 2200,Large angle grinders,42,Bosch,06018C10K0,GWS 2200
GWS 24-230 P,Large angle grinders,42,Bosch,06018C3101,GWS 24-230 P
GWS 27-230,Large angle grinders,42,Bosch,06018C50K0,GWS 27-230
GWS 2400 P,Large angle grinders,42,Bosch,06018F4300,GWS 2400 P
GWS 26-230,Large angle grinders,42,Bosch,06018F60K0,GWS 26-230
GWS 24-230,Large angle grinders,42,Bosch,06018C30K0,GWS 24-230
GWS 2200,Large angle grinders,42,Bosch,06018C00K0,GWS 2200
GWS 26-230 LVI,Large angle grinders,42,Bosch,0601895H04,GWS 26-230 LVI
GWS 26-230 B,Large angle grinders,42,Bosch,601856303,GWS 26-230 B
GWS 24-230 LVI,Large angle grinders,42,Bosch,0601893F00,GWS 24-230 LVI
GPO 14 CE,Polishers,42,Bosch,601389003,GPO 14 CE
GPO 950,Polishers,42,Bosch,06013A2020,GPO 950
GGS 30 LS,Straight grinders,42,Bosch,06012B50K0,GGS 30 LS
GGS 8 SH,Straight grinders,42,Bosch,601214300,GGS 8 SH
GGS 18 H,Straight grinders,42,Bosch,601209200,GGS 18 H
GGS 28 C,Straight grinders,42,Bosch,601220000,GGS 28 C
GBG 60-20,Double-wheeled bench grinders,42,Bosch,060127A400,GBG 60-20
GBG 35-15,Double-wheeled bench grinders,42,Bosch,060127A300,GBG 35-15
GSC 75-16,Shears,42,Bosch,601500500,GSC 75-16
GCD 12 JL,Metalworking,42,Bosch,0601B28000,GCD 12 JL
